TAB: 4
LENGTHS OF VALUE:
16..19				| 6..9		| 6..10			| 1				| 14..17			| 2..5		| 2..5		| 6..9		|
-------------------------------------------------------------------------------------------------------------------------
date time			| size of	| size of		| size of		| entry point		| section	| file		| size of	|
stamp				| code		| initialized	| uninitialized	|					| alignment	| alignment	| image		|
					|			| data			| data			|					|			|			|			|
-------------------------------------------------------------------------------------------------------------------------
24.06.2008 - 13:19	| 413A00	| 213400		| 0				| 245C7D(00645C7D)	| 1000		| 200		| 629000	| 
Ç· 20/07/2008 - 17:22 	| 41C200	| 214E00		| 0				| 24826D(0064826D)	| 1000		| 200		| 634000	| 
ë‡ 23/07/2008 - 20:18 	| 41E000	| 217600		| 0				| 24802D(0064802D)	| 1000		| 200		| 637000	| 
ó‚ 24/07/2008 - 12:14 	| 41E400	| 217800		| 0				| 2482FD(006482FD)	| 1000		| 200		| 638000	| 
Ç· 27/07/2008 - 16:27 	| 41F000	| 217A00		| 0				| 248DDD(00648DDD)	| 1000		| 200		| 638000	| 
ë‡ 30/07/2008 - 19:49 	| 420000	| 217C00		| 0				| 2492ED(006492ED)	| 1000		| 200		| 639000	| 
ó‚ 31/07/2008 - 18:26 	| 420000	| 217E00		| 0				| 24931D(0064931D)	| 1000		| 200		| 639000	| 
Ç· 03/08/2008 - 18:46 	| 420C00	| 217E00		| 0				| 24992D(0064992D)	| 1000		| 200		| 63A000	| 
ë‡ 06/08/2008 - 20:12 	| 422200	| 218000		| 0				| 249B3D(00649B3D)	| 1000		| 200		| 63D000	| 
ó‚ 07/08/2008 - 18:46 	| 422200	| 218000		| 0				| 249B3D(00649B3D)	| 1000		| 200		| 63D000	| 
è≠ 11/08/2008 - 19:50 	| 422A00	| 218400		| 0				| 249C8D(00649C8D)	| 1000		| 200		| 63D000	| 
Ç‚ 19/08/2008 - 19:41 	| 427A00	| 219000		| 0				| 24CCCD(0064CCCD)	| 1000		| 200		| 643000	| 
Ç· 24/08/2008 - 20:29 	| 429E00	| 219600		| 0				| 24ED3D(0064ED3D)	| 1000		| 200		| 646000	| 
ó‚ 28/08/2008 - 19:08 	| 42AA00	| 219600		| 0				| 24F52D(0064F52D)	| 1000		| 200		| 647000	| 
Ç· 31/08/2008 - 19:43 	| 42BE00	| 219E00		| 0				| 25081D(0065081D)	| 1000		| 200		| 648000	| 
Ç‚ 02/09/2008 - 19:11 	| 42CA00	| 219E00		| 0				| 250E1D(00650E1D)	| 1000		| 200		| 649000	| 
Ç· 07/09/2008 - 19:26 	| 42E000	| 21A400		| 0				| 25145D(0065145D)	| 1000		| 200		| 64B000	| 
Ç· 07/09/2008 - 20:05 	| 42E000	| 21A400		| 0				| 25145D(0065145D)	| 1000		| 200		| 64B000	| 
Ç· 07/09/2008 - 21:01 	| 42E000	| 21A400		| 0				| 25145D(0065145D)	| 1000		| 200		| 64B000	| 
è≠ 08/09/2008 - 18:44 	| 42E600	| 21A400		| 0				| 25154D(0065154D)	| 1000		| 200		| 64C000	| 
Ç· 14/09/2008 - 18:37 	| 431000	| 21B200		| 0				| 25346D(0065346D)	| 1000		| 200		| 64E000	| 
Ç· 14/09/2008 - 19:28 	| 431000	| 21B200		| 0				| 25346D(0065346D)	| 1000		| 200		| 64E000	| 
Ç· 14/09/2008 - 20:49 	| 431000	| 21B200		| 0				| 25346D(0065346D)	| 1000		| 200		| 64E000	| 
Ç‚ 16/09/2008 - 12:00 	| 432A00	| 21B200		| 0				| 25383D(0065383D)	| 1000		| 200		| 650000	| 
Ç‚ 16/09/2008 - 18:16 	| 433000	| 21B200		| 0				| 2537ED(006537ED)	| 1000		| 200		| 650000	| 
ë‡ 17/09/2008 - 17:14 	| 435400	| 21B600		| 0				| 25512D(0065512D)	| 1000		| 200		| 653000	| 
Ç· 21/09/2008 - 17:50 	| 436600	| 21C600		| 0				| 2593BD(006593BD)	| 1000		| 200		| 655000	| 
ë‡ 24/09/2008 - 19:47 	| 439200	| 21CC00		| 0				| 25BBBD(0065BBBD)	| 1000		| 200		| 658000	| 
ë° 27/09/2008 - 18:30 	| 439A00	| 21CC00		| 0				| 25C10D(0065C10D)	| 1000		| 200		| 658000	| 
Ç· 28/09/2008 - 19:40 	| 439A00	| 21CC00		| 0				| 25C0FD(0065C0FD)	| 1000		| 200		| 658000	| 
ó‚ 02/10/2008 - 19:54 	| 43DE00	| 21E400		| 0				| 25F42D(0065F42D)	| 1000		| 200		| 65E000	| 
Ç· 05/10/2008 - 17:14 	| 43E600	| 21E600		| 0				| 25F86D(0065F86D)	| 1000		| 200		| 65F000	| 
è‚ 10/10/2008 - 20:52 	| 43FE00	| 21EC00		| 0				| 26089D(0066089D)	| 1000		| 200		| 660000	| 
Ç· 12/10/2008 - 21:17 	| 440200	| 21EC00		| 0				| 260A2D(00660A2D)	| 1000		| 200		| 661000	| 
Ç‚ 14/10/2008 - 18:52 	| 43FE00	| 21EE00		| 0				| 2607BD(006607BD)	| 1000		| 200		| 660000	| 
ë‡ 15/10/2008 - 18:25 	| 440000	| 21F000		| 0				| 26091D(0066091D)	| 1000		| 200		| 661000	| 
Ç‚ 21.10.2008 - 19:47 	| 440400	| 21F000		| 0				| 26089D(0066089D)	| 1000		| 200		| 662000	| 
Ç· 26.10.2008 - 19:03 	| 441800	| 21F400		| 0				| 26106D(0066106D)	| 1000		| 200		| 663000	| 
ë‡ 29.10.2008 - 19:50 	| 442A00	| 21F400		| 0				| 2611CD(006611CD)	| 1000		| 200		| 664000	| 
ë° 01.11.2008 - 12:34 	| 442A00	| 21F600		| 0				| 26109D(0066109D)	| 1000		| 200		| 665000	| 
ë‡ 05.11.2008 -  8:56 	| 443200	| 21F600		| 0				| 26149D(0066149D)	| 1000		| 200		| 666000	| 
ó‚ 06.11.2008 - 20:12 	| 443600	| 21F600		| 0				| 2614DD(006614DD)	| 1000		| 200		| 666000	| 
ë‡ 12.11.2008 - 19:43 	| 445400	| 220000		| 0				| 26236D(0066236D)	| 1000		| 200		| 668000	| 
ó‚ 13.11.2008 - 20:33 	| 445C00	| 220200		| 0				| 26243D(0066243D)	| 1000		| 200		| 669000	| 
Ç· 16.11.2008 - 20:30 	| 446200	| 220400		| 0				| 26297D(0066297D)	| 1000		| 200		| 66A000	| 
è≠ 17.11.2008 - 18:53 	| 446200	| 220400		| 0				| 26299D(0066299D)	| 1000		| 200		| 66A000	| 
è‚ 21.11.2008 - 19:59 	| 446A00	| 220600		| 0				| 2635FD(006635FD)	| 1000		| 200		| 66A000	| 
ë° 22.11.2008 - 17:01 	| 446C00	| 220600		| 0				| 2638AD(006638AD)	| 1000		| 200		| 66A000	| 
è‚ 05.12.2008 - 19:45 	| 44A600	| 221800		| 0				| 2649ED(006649ED)	| 1000		| 200		| 66F000	| 
