TAB: 4
LENGTHS OF VALUE:
16..19				| 6..9		| 6..10			| 1				| 14..17			| 2..5		| 2..5		| 6..9		|
-------------------------------------------------------------------------------------------------------------------------
date time			| size of	| size of		| size of		| entry point		| section	| file		| size of	|
stamp				| code		| initialized	| uninitialized	|					| alignment	| alignment	| image		|
					|			| data			| data			|					|			|			|			|
-------------------------------------------------------------------------------------------------------------------------
24.06.2008 - 13:19	| 413A00	| 213400		| 0				| 245C7D(00645C7D)	| 1000		| 200		| 629000	| 
Ç· 20/07/2008 - 17:22 	| 41C200	| 214E00		| 0				| 24826D(0064826D)	| 1000		| 200		| 634000	| 
ë‡ 23/07/2008 - 20:18 	| 41E000	| 217600		| 0				| 24802D(0064802D)	| 1000		| 200		| 637000	| 
ó‚ 24/07/2008 - 12:14 	| 41E400	| 217800		| 0				| 2482FD(006482FD)	| 1000		| 200		| 638000	| 
Ç· 27/07/2008 - 16:27 	| 41F000	| 217A00		| 0				| 248DDD(00648DDD)	| 1000		| 200		| 638000	| 
ë‡ 30/07/2008 - 19:49 	| 420000	| 217C00		| 0				| 2492ED(006492ED)	| 1000		| 200		| 639000	| 
ó‚ 31/07/2008 - 18:26 	| 420000	| 217E00		| 0				| 24931D(0064931D)	| 1000		| 200		| 639000	| 
Ç· 03/08/2008 - 18:46 	| 420C00	| 217E00		| 0				| 24992D(0064992D)	| 1000		| 200		| 63A000	| 
ë‡ 06/08/2008 - 20:12 	| 448C00	| 210400		| 0				| 262420(00662420)	| 1000		| 200		| 65C000	| 
ó‚ 07/08/2008 - 18:46 	| 448E00	| 210400		| 0				| 262420(00662420)	| 1000		| 200		| 65C000	| 
è≠ 11/08/2008 - 19:50 	| 449400	| 210800		| 0				| 262580(00662580)	| 1000		| 200		| 65D000	| 
Ç‚ 19/08/2008 - 19:41 	| 44E400	| 211400		| 0				| 2656E0(006656E0)	| 1000		| 200		| 662000	| 
Ç· 24/08/2008 - 20:29 	| 450800	| 211A00		| 0				| 2678A0(006678A0)	| 1000		| 200		| 665000	| 
ó‚ 28/08/2008 - 19:08 	| 451600	| 211A00		| 0				| 268050(00668050)	| 1000		| 200		| 666000	| 
Ç· 31/08/2008 - 19:43 	| 452A00	| 212200		| 0				| 269360(00669360)	| 1000		| 200		| 667000	| 
Ç‚ 02/09/2008 - 19:11 	| 453600	| 212200		| 0				| 269920(00669920)	| 1000		| 200		| 668000	| 
Ç· 07/09/2008 - 19:26 	| 454C00	| 212800		| 0				| 26A010(0066A010)	| 1000		| 200		| 66B000	| 
Ç· 07/09/2008 - 20:05 	| 454C00	| 212800		| 0				| 26A010(0066A010)	| 1000		| 200		| 66B000	| 
Ç· 07/09/2008 - 21:01 	| 454C00	| 212800		| 0				| 26A010(0066A010)	| 1000		| 200		| 66B000	| 
è≠ 08/09/2008 - 18:44 	| 455200	| 212800		| 0				| 269FF0(00669FF0)	| 1000		| 200		| 66C000	| 
Ç· 14/09/2008 - 18:37 	| 	| 		| 				| 	| 		| 		| 	| 
Ç· 14/09/2008 - 19:28 	| 	| 		| 				| 	| 		| 		| 	| 
Ç· 14/09/2008 - 20:49 	| 457C00	| 213600		| 0				| 26BFE0(0066BFE0)	| 1000		| 200		| 66E000	| 
Ç‚ 16/09/2008 - 12:00 	| 459600	| 213600		| 0				| 26C1B0(0066C1B0)	| 1000		| 200		| 670000	| 
Ç‚ 16/09/2008 - 18:16 	| 459C00	| 213600		| 0				| 26C360(0066C360)	| 1000		| 200		| 670000	| 
ë‡ 17/09/2008 - 17:14 	| 45C200	| 213A00		| 0				| 26DE80(0066DE80)	| 1000		| 200		| 673000	| 
Ç· 21/09/2008 - 17:50 	| 45D400	| 214800		| 0				| 2720E0(006720E0)	| 1000		| 200		| 675000	| 
ë‡ 24/09/2008 - 19:47 	| 451000	| 213A00		| 0				| 273A41(00673A41)	| 1000		| 200		| 667000	| 
ë° 27/09/2008 - 18:30 	| 451800	| 213A00		| 0				| 273F21(00673F21)	| 1000		| 200		| 668000	| 
Ç· 28/09/2008 - 19:40 	| 451800	| 213A00		| 0				| 273F21(00673F21)	| 1000		| 200		| 668000	| 
ó‚ 02/10/2008 - 19:54 	| 455C00	| 215400		| 0				| 277281(00677281)	| 1000		| 200		| 66D000	| 
Ç· 05/10/2008 - 17:14 	| 456600	| 215600		| 0				| 277581(00677581)	| 1000		| 200		| 66E000	| 
è‚ 10/10/2008 - 20:52 	| 457C00	| 215E00		| 0				| 2785C1(006785C1)	| 1000		| 200		| 670000	| 
Ç· 12/10/2008 - 21:17 	| 458000	| 215E00		| 0				| 278741(00678741)	| 1000		| 200		| 670000	| 
Ç‚ 14/10/2008 - 18:52 	| 457600	| 216000		| 0				| 278111(00678111)	| 1000		| 200		| 670000	| 
ë‡ 15/10/2008 - 18:25 	| 457800	| 216200		| 0				| 278221(00678221)	| 1000		| 200		| 671000	| 
Ç‚ 21.10.2008 - 19:47 	| 457A00	| 216200		| 0				| 277F51(00677F51)	| 1000		| 200		| 671000	| 
Ç· 26.10.2008 - 19:03 	| 458E00	| 216600		| 0				| 2786C1(006786C1)	| 1000		| 200		| 672000	| 
ë‡ 29.10.2008 - 19:50 	| 45A000	| 216600		| 0				| 2788D1(006788D1)	| 1000		| 200		| 673000	| 
ë° 01.11.2008 - 12:34 	| 45A000	| 216600		| 0				| 2786B1(006786B1)	| 1000		| 200		| 673000	| 
ë‡ 05.11.2008 -  8:56 	| 45A800	| 216600		| 0				| 278A61(00678A61)	| 1000		| 200		| 674000	| 
ó‚ 06.11.2008 - 20:12 	| 45AC00	| 216600		| 0				| 278AA1(00678AA1)	| 1000		| 200		| 674000	| 
ë‡ 12.11.2008 - 19:43 	| 45CA00	| 217000		| 0				| 279A21(00679A21)	| 1000		| 200		| 676000	| 
ó‚ 13.11.2008 - 20:33 	| 45D000	| 217400		| 0				| 279931(00679931)	| 1000		| 200		| 677000	| 
Ç· 16.11.2008 - 20:30 	| 45D600	| 217400		| 0				| 279F41(00679F41)	| 1000		| 200		| 678000	| 
è≠ 17.11.2008 - 18:53 	| 45D600	| 217400		| 0				| 279F51(00679F51)	| 1000		| 200		| 678000	| 
è‚ 21.11.2008 - 19:59 	| 45DE00	| 217600		| 0				| 27AB71(0067AB71)	| 1000		| 200		| 678000	| 
ë° 22.11.2008 - 17:01 	| 45E200	| 217600		| 0				| 27AE21(0067AE21)	| 1000		| 200		| 679000	| 
è‚ 05.12.2008 - 19:45 	| 461C00	| 218A00		| 0				| 27C171(0067C171)	| 1000		| 200		| 67D000	| 
Ç· 07.12.2008 - 19:27 	| 461E00	| 218A00		| 0				| 27C231(0067C231)	| 1000		| 200		| 67D000	| 
è≠ 08.12.2008 - 19:32 	| 462400	| 218A00		| 0				| 27C161(0067C161)	| 1000		| 200		| 67E000	| 
