GrpName;Name;Code;ManufName;Country;Brand;UnitName;PhUnitName;PhUPerU;UnitsPerPack;Vat;ExpiryPeriod;PckgQtty;PckgBrutto;PckgLength;PckgWidth;PckgHeight
Горячая выпечка из п/ф;A02;2010000037560;Австралия;;4 Сезона;Бутылка;;0.000000;0.000;10.0;0;0.000;0;0;0;0
Горячая выпечка из п/ф;A02+;;Австралия;;7 Дэйс;Бутылка;;0.000000;0.000;10.0;0;0.000;0;0;0;0
Горячая выпечка из п/ф;Абрикос в йогурте;02818827;Россия;Россия;;Кг;;0.000000;0.000;18.0;0;0.000;0;0;0;0
Сухофрукты;Абрикос в шоколаде;28829737;Россия;Россия;;Кг;;0.000000;0.000;18.0;0;0.000;0;0;0;0
Сухофрукты;Абрикос Зеебергер мягкий б/к 200г;4008258292013;Финко;;Зеебергер;ШТ 1;Кг;0.200000;0.000;18.0;0;0.000;0;0;0;0
Сухофрукты;Абрикос Зеебергер экстра мягкий б/к 500г;4008258292006;Германия;Германия;Зеебергер;ШТ 1;Кг;0.500000;0.000;18.0;0;0.000;0;0;0;0
Сухофрукты;Абрикос Кайса сушеный;02814414;;;;Кг;;0.000000;0.000;18.0;0;0.000;0;0;0;0
Сухофрукты;Абрикос кайса Чудо Фрукт цел.суш.900г;4601692000734;Россия;Россия;Чудо Фрукт;ШТ 1;Кг;0.900000;0.000;18.0;0;0.000;0;0;0;0
Сухофрукты;Абрикос кайса Чудо Фрукт целый суш.450г;4601692001427;Россия;Россия;Чудо Фрукт;ШТ 1;Кг;0.450000;0.000;18.0;0;0.000;0;0;0;0
Сухофрукты;Абрикос Натси суш.180г;4607114760118;Россия;Россия;На Здоровье;ШТ 1;Кг;0.180000;0.000;18.0;0;0.000;0;0;0;0
Сухофрукты;Ананас Нектафлор мягкий 150г;7610184040001;Швейцария;Швейцария;Нектафлор;ШТ 1;Кг;0.150000;0.000;18.0;0;0.000;0;0;0;0
Сухофрукты;Ананас палочки;28548065;Турция;Турция;;Кг;;0.000000;0.000;18.0;0;0.000;0;0;0;0
Сухофрукты;Ананас палочки микс;28029069;Турция;Турция;;Кг;;0.000000;0.000;18.0;0;0.000;0;0;0;0
Сухофрукты;Ананас сушеный Атланта 150г;4607003150716;Россия;Россия;;ШТ 1;;0.000000;0.000;18.0;0;0.000;0;0;0;0
Сухофрукты;Ананас Тю-Ша кубик 250г;4607015927023;Россия;Россия;Тю-Ша;ШТ 1;Кг;0.250000;0.000;18.0;0;0.000;0;0;0;0
Сухофрукты;Ананас Форест Микс кубики 200г;4607036552235;Россия;Россия;Форест Микс;ШТ 1;Кг;0.200000;0.000;18.0;0;0.000;0;0;0;0
Сухофрукты;Ананас цилиндр микс;28019244;Тайланд;Тайланд;;Кг;;0.000000;0.000;18.0;0;0.000;0;0;0;0
Сухофрукты;Ананас цилиндр-Яблоко;28055099;Тайланд;Тайланд;;Кг;;0.000000;0.000;18.0;0;0.000;0;0;0;0
Сухофрукты;Ананас Чудо Фрукт суш.450г;4601692001496;Россия;Россия;Чудо Фрукт;ШТ 1;Кг;0.450000;0.000;18.0;0;0.000;0;0;0;0
Орехи;Арахис;28435891;Китай;Китай;;Кг;;0.000000;0.000;18.0;5;0.000;0;0;0;0
Орехи;Арахис Аллегро 200г;4607015920567;Россия;Россия;;ШТ 1;Кг;0.200000;0.000;18.0;0;0.000;0;0;0;0
Орехи;Арахис Амро 30г;4603170003121;Россия;Россия;Амро;ШТ 1;Кг;0.030000;0.000;18.0;0;0.000;0;0;0;0
Орехи;Арахис Амро 500г;4603170001592;Россия;Россия;Амро;ШТ 1;Кг;0.500000;0.000;18.0;0;0.000;0;0;0;0
Орехи;Арахис Амро 50г;4603170002612;Россия;Россия;Амро;ШТ 1;Кг;0.050000;0.000;18.0;0;0.000;0;0;0;0
Орехи;Арахис Амро 90г;4603170003824;Россия;Россия;Амро;ШТ 1;Кг;0.090000;0.000;18.0;0;0.000;0;0;0;0
Орехи;Арахис Амро жар.подсол.200г;26061337;Россия;Россия;Амро;ШТ 1;Кг;0.200000;0.000;18.0;0;0.000;0;0;0;0
Орехи;Арахис Ангстрем соленый 100г;4600935100026;Россия;Россия;;ШТ 1;Кг;0.100000;0.000;18.0;0;0.000;0;0;0;0
Орехи;Арахис Ангстрем соленый 50г;4600935100156;Россия;Россия;;ШТ 1;Кг;0.050000;0.000;18.0;0;0.000;0;0;0;0
Орехи;Арахис Аромат жар.солен.150г жесть;5902187000666;Польша;Польша;;ШТ 1;Кг;0.150000;0.000;18.0;0;0.000;0;0;0;0
Орехи;Арахис Кедр в скорлупе жареный 400г;4607004641497;Россия;Россия;;ШТ 1;Кг;0.400000;0.000;18.0;0;0.000;0;0;0;0
Орехи;Арахис Клинское 30г.;4605581000287;Россия;Россия;;ШТ 1;Кг;0.030000;0.000;18.0;0;0.000;0;0;0;0
Орехи;Арахис лущеный 500г;26029054;Китай;Китай;;ШТ 1;Кг;0.500000;0.000;18.0;0;0.000;0;0;0;0
Орехи;Арахис Натси жарен.в скорлупе 300г;4607004641473;Россия;Россия;Натси;ШТ 1;Кг;0.300000;0.000;18.0;0;0.000;0;0;0;0
Орехи;Арахис Натси жарен.солен.300г;4607004642685;Россия;Россия;Натси;ШТ 1;Кг;0.300000;0.000;18.0;0;0.000;0;0;0;0
Орехи;Арахис Натси жареный соленый 500г;4607004642678;Россия;Россия;Натси;ШТ 1;Кг;0.500000;0.000;18.0;0;0.000;0;0;0;0
Орехи;Арахис Невское Амро 30г;4603170003176;Россия;Россия;Амро;ШТ 1;Кг;0.030000;0.000;18.0;0;0.000;0;0;0;0
Орехи;Арахис Невское к пиву 40г;4607004160165;Россия;Россия;;ШТ 1;Кг;0.400000;0.000;18.0;0;0.000;0;0;0;0
Орехи;Арахис Орешник соленый жар.200г;4601692001335;Россия;Россия;;ШТ 1;Кг;0.200000;0.000;18.0;0;0.000;0;0;0;0
Орехи;Арахис Ст.Разин соленый 30г;4605362005708;Россия;Россия;;ШТ 1;Кг;0.030000;0.000;18.0;0;0.000;0;0;0;0
Орехи;Арахис Тадим обжар.100г;26066653;Турция;Турция;;ШТ 1;Кг;0.100000;0.000;18.0;0;0.000;0;0;0;0
Орехи;Арахис Тадим обжар.200г;26066660;Турция;Турция;;ШТ 1;Кг;0.200000;0.000;18.0;0;0.000;0;0;0;0
Орехи;Арахис Тан-Тан Хоанг ки 32г;8934661101788;Вьетнам;Вьетнам;;ШТ 1;Кг;0.320000;0.000;18.0;0;0.000;0;0;0;0
Орехи;Арахис Тю-ша жаренный 200г;4607015927108;Россия;Россия;;ШТ 1;Кг;0.200000;0.000;18.0;0;0.000;0;0;0;0
Орехи;Арахис Тю-ша очищ.800г;4607015927115;Россия;Россия;Тю-Ша;ШТ 1;Кг;0.800000;0.000;18.0;0;0.000;0;0;0;0
Орехи;Арахис Феликс с медом 100г;5900571700055;Россия;Россия;;ШТ 1;Кг;0.100000;0.000;18.0;0;0.000;0;0;0;0
Орехи;Арахис Феликс с медом 150г жесть;5900571700116;Польша;Польша;;ШТ 1;Кг;0.150000;0.000;18.0;0;0.000;0;0;0;0
Орехи;Арахис Феликс с паприкой 150г жесть;5900571700123;Польша;Польша;;ШТ 1;Кг;0.150000;0.000;18.0;0;0.000;0;0;0;0
Орехи;Арахис Феликс сол.150г ж/б;5900571700017;Польша;Польша;;ШТ 1;Кг;0.150000;0.000;18.0;0;0.000;0;0;0;0
Орехи;Арахис Финнат сол.жарен 400г в/у;4601692001229;Россия;Россия;Финнат;ШТ 1;Кг;0.400000;0.000;18.0;0;0.000;0;0;0;0
Орехи;Арахис Форест Микс жар.200г;4607036552006;Россия;Россия;Форест Микс;ШТ 1;Кг;0.200000;0.000;18.0;0;0.000;0;0;0;0
Орехи;Арахис Франт жареный 100г;4606972300009;Россия;Россия;Франт;ШТ 1;Кг;0.100000;0.000;18.0;0;0.000;0;0;0;0
Орехи;Арахис Франт жареный 200г;4606972300214;Россия;Россия;Франт;ШТ 1;Кг;0.200000;0.000;18.0;0;0.000;0;0;0;0
Орехи;Арахис Х-трим 35г;4600294001224;Россия;Россия;;ШТ 1;Кг;0.350000;0.000;18.0;0;0.000;0;0;0;0
Орехи;Арахис Харрис по-мексикански 150г жесть;5902187105903;Польша;Польша;;ШТ 1;Кг;0.150000;0.000;18.0;0;0.000;0;0;0;0
Орехи;Арахис Харрис с медом 150г жесть;5902187104906;Польша;Польша;;ШТ 1;Кг;0.150000;0.000;18.0;0;0.000;0;0;0;0
Орехи;Арахис Харрис с паприкой 150г жесть;5902187102902;Польша;Польша;;ШТ 1;Кг;0.150000;0.000;18.0;0;0.000;0;0;0;0
Орехи;Арахис Чака соленый 50г;4607004160028;Россия;Россия;;ШТ 1;Кг;0.050000;0.000;18.0;0;0.000;0;0;0;0
