100 Mile House;Майл Хаус
28 de Noviembre;28 де Новьембре
30 de Agosto;30 де Агосто
5, Thompkinsville;Маунт Виктория
70 Mile House;Майл Хаус
A Capela;Капела
A Coruna;Коруния
A Estrada;Ла-Эстрада
A Fonsagrada;Фонсаграда
A Guarda;Ла-Гвардиа
A Illa de Arousa;Ла-Исла-де-Ароса
A Lama;Ла-Лама
A Laracha;Ларача
A Merca;Ла-Мерка
A Pobra de Trives;Пуэбла-де-Тривес
A Pobra do Caraminal;Бельоч
Aabenraa;Обенро
Aach;Аах
Aachen;Ахен
Aadorf;Адорф
Aalborg;Ольборг
Aalburg;Аолберг
Aalen;Аален
Aalsmeer;Алсмер
Aalst;Алст
Aalter;Алтер
Aanekoski;??
Aapioa;Ларисса
Aarau;Аарау
Aarberg;Аарберг
Aarburg;Арбург
Aartselaar;Артселар
Aarwangen;Аарванген
Aasbuttel;Асбюттель
Aasiaat;Аасиаат
Aast;Ааст
Aathal;Аталь
Aba;Аба
Abacas;Абасаш
Abadan;Абадан
Abadeh;Абаде
Abadia dos Dourados;Абадия-дус-Дорадус
Abadiania;Абадиания
Abadin;Абадин
Abadino;Абадиано
Abaetetuba;Абаэтетуба
Abakan;Абакан
Abalos;Абалос
Abanilla;Абанилья
Abano Terme;Абано-Терме
Abaran;Абаран
Abarca de Campos;Абарка-де-Кампос
Abarzuza;Абарсуса
Abasha;Абаша
Abashiri;Абасири
Abasolo;Абасоло
Abasto;Абасто
Abaujszanto;Абауйсанто
Abaurrea Alta;Абаурреа-Баха
Abay;Абай
Abaza;Абаза
Abbadia Cerreto;Аббадия-Черрето
Abbadia Lariana;Аббадия Лариана
Abbadia San Salvatore;Аббадия-Сан-Сальваторе
Abbasanta;Аббазанта
Abbateggio;Аббатеджо
Abbenrode;Аббенроде
Abberode;Аббероде
Abbesbuttel;Аббесбюттель
Abbeville;Эббивилл
Abbeville-Saint-Lucien;Абвиль
Abbey;Абби
Abbeydorney;Аббидорни
Abbeyfeale;Аббифил
Abbeylara;Аббилара
Abbeyleix;Аббилейкс
Abbeyshrule;Аббишрул
Abbiategrasso;Аббиатеграссо
Abbot;Аббот
Abbotsford;Абботсфорд
Abbotskerswell;Абботскерсуэлл
Abbott;Абботт
Abdet;Абдет
Abdi;Абди
Abdulino;Абдулино
Abeche;Абеше
Abegondo;Абегондо
Abejera;Абехера
Abejorral;Абехорраль
Abelardo Luz;Абеларду-Лус
Abella;Абелья-де-ла-Конка
Abenberg;Абенберг
Abengourou;Абенгуру
Abenheim;Абенхайм
Abenojar;Навальмедио де Моралес
Abensberg;Абенсберг
Abentheuer;Абентхойер
Abeokuta;Абеокута
Aberangell;Аберейнджелл
Aberbargoed;Абербаргойд
Aberchirder;Аберчайрдер
Abercrombie;Аберкромби
Aberdare;Абердер
Aberdeen;Абердин
Aberdeen Proving Ground;Абердинский испытательный полигон
Aberfoyle;Аберфойл
Aberg;Аберг
Aberglasslyn;Абергласслин
Abergorlech;Абергорлч
Abergwynfi;Абергвинфи
Abergynolwyn;Абергйнолвин
Aberkenfig;Аберкенфиг
Abermain;Абермейн
Abermule;Абермул
Abern;Аберн
Abernathy;Абернати
Abernethy;Абернети
Abersfeld;Аберсфельд
Abersychan;Аберсайчейн
Abertamy;Абертами
Abetone;Абетоне
Abfaltersbach;Абфальтерсбах
Abha;Абха
Abhar;Абхар
Abidjan;Абиджан
Abidos;Абидо
Abiego;Абьего
Abiko;Абико
Abilene;Абилин
Abingdon;Абингдон
Abington;Абингтон
Abinsk;Абинск
Abira;Абира
Abiramam;Абирамам
