Result;Test;Descr;SuccCount;FailCount;Timing;SysTiming;IncMemBlk;IncMemSize
FAIL;PPSlipFormatOutput;;0;1;15;52;8;525838;(fmt.Parse(in_file_name, "Form1"))==0
OK;Reference_EnumItems;;10;0;531;13578;1;68
BENCHMARK;Reference_EnumItems-EnumItems;;;;609;13159;0;0
BENCHMARK;Reference_EnumItems-NextEnum;;;;484;7025;0;0
OK;PPSlipFormatOutput;;1;0;62;262;20;810952
OK;Reference_EnumItems;;10;0;1031;16462;1;68
BENCHMARK;Reference_EnumItems-EnumItems;;;;671;10223;0;0
BENCHMARK;Reference_EnumItems-NextEnum;;;;546;10276;0;0
FAIL;PPSlipFormatOutput;;0;1;0;-262;8;525550;(fmt.Parse(in_file_name, "Form1"))==0
OK;Reference_EnumItems;;10;0;1234;13789;1;32
BENCHMARK;Reference_EnumItems-EnumItems;;;;875;13159;0;0
BENCHMARK;Reference_EnumItems-NextEnum;;;;671;6920;0;0
FAIL;PPSlipFormatOutput;;0;1;0;-314;8;525550;(fmt.Parse(in_file_name, "Form1"))==0
OK;Reference_EnumItems;;10;0;1171;13736;1;32
BENCHMARK;Reference_EnumItems-EnumItems;;;;890;13159;0;0
BENCHMARK;Reference_EnumItems-NextEnum;;;;812;6867;0;0
OK;PPSlipFormatOutput;;1;0;78;120953;20;810952
OK;Reference_EnumItems;;10;0;531;13527;1;68
BENCHMARK;Reference_EnumItems-EnumItems;;;;937;13159;0;0
BENCHMARK;Reference_EnumItems-NextEnum;;;;890;6815;0;0
OK;PPSlipFormatOutput;;1;0;125;0;20;810952
OK;Reference_EnumItems;;10;0;656;13474;1;68
BENCHMARK;Reference_EnumItems-EnumItems;;;;828;13526;0;0
BENCHMARK;Reference_EnumItems-NextEnum;;;;453;6396;0;0
OK;PPSlipFormatOutput;;1;0;62;0;10;622589
OK;Reference_EnumItems;;10;0;359;3303;1;68
BENCHMARK;Reference_EnumItems-EnumItems;;;;265;6973;0;0
BENCHMARK;Reference_EnumItems-NextEnum;;;;250;3303;0;0
OK;PPSlipFormatOutput;;1;0;109;30303;20;810952
OK;Reference_EnumItems;;10;0;1140;13369;1;68
BENCHMARK;Reference_EnumItems-EnumItems;;;;1140;-415970;0;0
BENCHMARK;Reference_EnumItems-NextEnum;;;;781;6763;0;0
OK;PPSlipFormatOutput;;1;0;46;0;10;622589
OK;Reference_EnumItems;;10;0;312;6763;1;68
BENCHMARK;Reference_EnumItems-EnumItems;;;;250;6920;0;0
BENCHMARK;Reference_EnumItems-NextEnum;;;;171;3040;0;0
OK;PPSlipFormatOutput;;1;0;93;157;20;1614848
OK;Reference_EnumItems;;10;0;1578;13369;1;68
BENCHMARK;Reference_EnumItems-EnumItems;;;;1093;13526;0;0
BENCHMARK;Reference_EnumItems-NextEnum;;;;718;6396;0;0
OK;PPSlipFormatOutput;;1;0;125;-104;20;1614848
OK;Reference_EnumItems;;10;0;1250;13631;1;68
BENCHMARK;Reference_EnumItems-EnumItems;;;;968;13054;0;0
BENCHMARK;Reference_EnumItems-NextEnum;;;;906;6868;0;0
OK;PPSlipFormatOutput;;1;0;125;3355;20;1614876
OK;Reference_EnumItems;;10;0;1875;13520;1;68
BENCHMARK;Reference_EnumItems-EnumItems;;;;1671;13214;0;0
BENCHMARK;Reference_EnumItems-NextEnum;;;;828;6954;0;0
OK;PPSlipFormatOutput;;1;0;125;3266;20;1614879
OK;Reference_EnumItems;;10;0;1265;13598;1;68
BENCHMARK;Reference_EnumItems-EnumItems;;;;1031;13219;0;0
BENCHMARK;Reference_EnumItems-NextEnum;;;;640;6702;0;0
OK;PPSlipFormatOutput;;1;0;218;-223;20;1614879
OK;Reference_EnumItems;;10;0;703;13467;1;68
BENCHMARK;Reference_EnumItems-EnumItems;;;;984;13380;0;0
BENCHMARK;Reference_EnumItems-NextEnum;;;;296;10185;0;0
OK;PPSlipFormatOutput;;1;0;171;70;20;1614879
OK;Reference_EnumItems;;10;0;953;13304;1;68
BENCHMARK;Reference_EnumItems-EnumItems;;;;1093;30337;0;0
BENCHMARK;Reference_EnumItems-NextEnum;;;;265;6829;0;0
OK;PPSlipFormatOutput;;1;0;156;127505;20;1614879
OK;Reference_EnumItems;;10;0;1046;16871;1;68
BENCHMARK;Reference_EnumItems-EnumItems;;;;781;13628;0;0
BENCHMARK;Reference_EnumItems-NextEnum;;;;625;9990;0;0
OK;PPSlipFormatOutput;;1;0;125;5;20;1614879
OK;Reference_EnumItems;;10;0;859;13741;1;68
BENCHMARK;Reference_EnumItems-EnumItems;;;;718;16660;0;0
BENCHMARK;Reference_EnumItems-NextEnum;;;;781;10005;0;0
OK;PPSlipFormatOutput;;1;0;312;3441;20;1614879
OK;Reference_EnumItems;;10;0;1343;13348;1;68
