Code;Vetis-GUID;Vetis-UUID;name-ru;name-en
43;933312a8-dc11-43ee-9daa-abb240bf9e3f;118124c8-ace0-44e1-b212-ee10dd5c1cdc;Мешок большой для крупноразмерных навалочных грузов;Bag, super bulk
44;;;Мешок полиэтиленовый;Bag, polybag
1A;02f1c682-8f53-47f8-b8dc-72404d986e66;9ddf31ea-9c4b-499b-81a5-417a13510ab7;Барабан стальной;Drum, steel
1B;ed90911b-d130-4d3b-ae0b-2f0754d23fd4;db0c6b94-55b0-4513-b93d-3e002bb25633;Барабан, алюминиевый;Drum, aluminium
1D;e5f7f98d-6a9c-4866-8cac-4819f71e41b3;a091c309-5510-4665-8f97-711adba75fac;Барабан фанерный;Drum, plywood
1F;0239b3d5-ec19-498f-9379-013e4df8c882;37b0901a-8898-4b3d-91b6-b1fedea95677;Контейнер, гибкий;Container, flexible
1G;6bf25be3-0cf7-4dd8-a383-049a02862968;c797d606-3c58-45e2-bae1-43eb721ef85d;Барабан фибровый;Drum, fibre
1W;0ef53349-5258-4efc-ac2a-23d1e33f387b;808742a1-03e3-463f-9dac-e7da65910f19;Барабан, деревянный;Drum, wooden
2C;5623e14a-903b-48e4-8afa-07db65991173;db331559-de47-4e2f-b9ff-14e162d79aa5;Бочка (емкостью около 164 л) деревянная;Barrel, wooden
3A;315646b0-01b2-4728-ab20-39911b080c26;018450a1-9dab-4faf-9e07-5397be1a40e2;Канистра, стальная;Jerrycan, steel
3H;12829e8e-7983-4745-8d01-5425d0244df6;b7fe7ffe-c6e3-4a5b-8b15-fbd0e8e50cba;Канистра, пластмассовая;Jerrycan, plastic
4A;9c0e3d26-e6c5-4b8e-bb47-0a4ecf8867a3;854a33cf-19d9-4bbc-8c88-350cad781fd0;Коробка, стальная;Box, steel
4B;56e38905-209b-43cc-ac8f-3657f5ec2bdc;19c925cc-a9cc-46e5-9771-5c8dae149a60;Коробка, алюминиевая;Box, aluminium
4C;89f4e420-504e-4b2e-9291-ae483d7e9bdd;994a8889-5c05-4693-89d1-69606ed78613;Коробка из естественной древесины;Box, natural wood
4D;2c76df5b-bdf1-4c36-b136-41240961deb0;3193c03c-6297-4ceb-a9aa-9fdc74c953e9;Коробка, фанерная;Box, plywood
4F;9f0f9e11-cce0-4484-9a50-bc4fed7ee1e9;c33d8f66-329b-429f-bbf1-885375171bf1;Коробка из древесного материала;Box, reconstituted wood
4G;aa308c04-0fe0-4a87-ab8c-7527b3f261f4;c47d8362-0dfd-4d50-8914-70ef847171dd;Коробка из фибрового картона;Box, fibreboard
4H;dae4571f-d2e8-11e4-8109-d89d67148660;e7d21776-e30d-471a-9d84-f8dc9d2cf0e2;Коробка, пластмассовая;Box, plastic
5H;fedf4616-053c-11e1-99b4-d8d385fbc9e8;0b7450bf-b01f-4908-8e0e-967df80303ec;Мешок из полимерной ткани;Bag, woven plastic
5L;f8296670-1b9b-42fa-9e29-76dc5ba0a8c0;5cf1481f-09b1-4b1b-a7c2-229817ebb324;Мешок текстильный;Bag, textile
5M;fedf5e80-053c-11e1-99b4-d8d385fbc9e8;53e6fc67-14de-4ccc-bf68-a85cbffe385d;Мешок, бумажный;Bag, paper
6H;d0416c04-368d-48bf-b5fb-d3fe21f3977c;1343c3ad-605f-4734-a94f-61b2e756e6af;Комбинированная упаковка: пластмассовый сосуд;Composite packaging, plastic receptacle
6P;380c561e-749a-4408-88de-ad5399c8a53f;fc68e8a2-415c-48c6-9cc3-724ab15c528d;Комбинированная упаковка: стеклянный сосуд;Composite packaging, glass receptacle
