ast	application security testing
sast	static ast
dast	dynamic ast
iast	interactive ast
sca	software composition analysis
waf	web application firewall
rasp	runtime application self-protection
dap	database audit and protection
dlp	data leak prevention РёР»Рё data loss prevention
dcap	data-centric audit and protection
casb	cloud access security broker
sds	software-defined storage
epp	endpoint protection platform
edr	endpoint detection and response
stap	specialized threat analysis and protection
evc	endpoint visibility & control
iam	identity and access management
iga	identity governance and administration
pam	privileged access management
pum	privileged user management
pim	privileged identity management
ppm	privileged password management
pas	privileged account security 
sdp	software defined perimeter
swg	secure web gateways
ngfw	next-generation firewalls
nta	network traffic analysis
ids	intrusion detection systems
ips	intrusion prevention system
idps	intrusion detection and prevention systems
utm	unified threat management
nbad	network behavior anomaly detection
bds	breach detection system
ueba	user and entity behavior analytics
siem	security information and event management
soc	security operations center
soar	security operations, analytics and reporting / security orchestration, automation and response
irs	incident response platforms
tip	threat intelligence platform
mdr	managed detection and response
ddp	distributed deception platforms
bas	breach and attack simulation
nft	network forensic tools
al	alabama
ak	alaska
az	arizona
ar	arkansas
ca	california
co	colorado
ct	connecticut
de	delaware
fl	florida
ga	georgia
hi	hawaii
id	idaho
il	illinois
in	indiana
ia	iowa
ks	kansas
ky	kentucky
la	louisiana
me	maine
md	maryland
ma	massachusetts
mi	michigan
mn	minnesota
ms	mississippi
mo	missouri
mt	montana
ne	nebraska
nv	nevada
nh	newhampshire
nj	newjersey
nm	newmexico
ny	newyork
nc	northcarolina
nd	northdakota
oh	ohio
ok	oklahoma
or	oregon
pa	pennsylvania
ri	rhodeisland
sc	southcarolina
sd	southdakota
tn	tennessee
tx	texas
ut	utah
vt	vermont
va	virginia
wa	washington
wv	westvirginia
wi	wisconsin
wy	wyoming
abbrev	abbreviation
abd,aberd	aberdeen
aberdeensh	aberdeenshire
abl	ablative
abol	abolition
aborig	aboriginal
abr,abridg	abridged
abridgem	abridgement
absol,abs	absolute
absol	absolutely
abst,abstr	abstract
abst,abstr	abstracts
acad	academia
