//  ======  СУЩЕСТВИТЕЛЬНЫЕ   ========

// существительные мужского рода
аа A С мр,ед,им
аб A С мр,ед,рд
Эф A С мр,ед,рд,2
ав A С мр,ед,дт
аг A С мр,ед,вн
ад A С мр,ед,тв
ае A С мр,ед,пр
Эх A С мр,ед,пр,2
ас A С мр,ед,зв,
аж A С мр,мн,им
аз A С мр,мн,рд
аи A С мр,мн,дт
ай A С мр,мн,вн
ак A С мр,мн,тв
ал A С мр,мн,пр
ам B С мр,0
ан B С мр,ед,0

// =============  разговорный  ================
Юо A С мр,ед,им,разг 
Юп A С мр,ед,рд,разг 
Юр A С мр,ед,дт,разг 
Юс A С мр,ед,вн,разг 
Ют A С мр,ед,тв,разг 
Юф A С мр,ед,пр,разг 
Юх A С мр,ед,зв,разг 
Яб A С мр,мн,им,разг 
Яа A С мр,мн,рд,разг
Яв A С мр,мн,дт,разг
Яг A С мр,мн,вн,разг
Яд A С мр,мн,тв,разг
Яж A С мр,мн,пр,разг


// =============  архаизм  ================
го A С мр,ед,им,арх 
гп A С мр,ед,рд,арх 
гр A С мр,ед,дт,арх 
гс A С мр,ед,вн,арх 
гт A С мр,ед,тв,арх 
гу A С мр,ед,пр,арх 
гф A С мр,мн,им,арх 
гх A С мр,мн,рд,арх
гц A С мр,мн,дт,арх
гч A С мр,мн,вн,арх
гш A С мр,мн,тв,арх
гщ A С мр,мн,пр,арх


// существительные мужского-женского рода

ва E С мр-жр,ед,им
вб E С мр-жр,ед,рд
вв E С мр-жр,ед,дт
вг E С мр-жр,ед,вн
вд E С мр-жр,ед,тв
ве E С мр-жр,ед,пр
вж E С мр-жр,мн,им
вз E С мр-жр,мн,рд
ви E С мр-жр,мн,дт
вй E С мр-жр,мн,вн
вк E С мр-жр,мн,тв
вл E С мр-жр,мн,пр
вм F С мр-жр,0
вн F С мр-жр,ед,0


// существительные мужского-женского рода (архаизм)
во E С арх,мр-жр,ед,им
вп E С арх,мр-жр,ед,рд
вр E С арх,мр-жр,ед,дт
вс E С арх,мр-жр,ед,вн
вт E С арх,мр-жр,ед,тв
ву E С арх,мр-жр,ед,пр
вф E С арх,мр-жр,мн,им
вх E С арх,мр-жр,мн,рд
вц E С арх,мр-жр,мн,дт
вч E С арх,мр-жр,мн,вн
вш E С арх,мр-жр,мн,тв
вщ E С арх,мр-жр,мн,пр

// существительные женского рода
га G С жр,ед,им
гб G С жр,ед,рд
гв G С жр,ед,дт
гг G С жр,ед,вн
гд G С жр,ед,тв
ге G С жр,ед,пр
Эч G С жр,ед,пр,2
Йш G С жр,ед,зв
гж G С жр,мн,им
гз G С жр,мн,рд
ги G С жр,мн,дт
гй G С жр,мн,вн
гк G С жр,мн,тв
гл G С жр,мн,пр
гм H С жр,0
гн H С жр,ед,0

// существительные женского (архаизм)
Йа G С арх,жр,ед,им
Йб G С арх,жр,ед,рд
Йв G С арх,жр,ед,дт
Йг G С арх,жр,ед,вн
Йд G С арх,жр,ед,тв
Йе G С арх,жр,ед,пр
Йж G С арх,жр,мн,им
Йз G С арх,жр,мн,рд
Йи G С арх,жр,мн,дт
Йй G С арх,жр,мн,вн
Йк G С арх,жр,мн,тв
Йл G С арх,жр,мн,пр


// существительные женского (разговорный)
Йм G С разг,жр,ед,им
Йн G С разг,жр,ед,рд
Йо G С разг,жр,ед,дт
Йп G С разг,жр,ед,вн
Йр G С разг,жр,ед,тв
Йс G С разг,жр,ед,пр
Йт G С разг,жр,мн,им
Йу G С разг,жр,мн,рд
Йф G С разг,жр,мн,дт
Йх G С разг,жр,мн,вн
Йц G С разг,жр,мн,тв
Йч G С разг,жр,мн,пр



// существительные среднего рода

еа K С ср,ед,им
еб K С ср,ед,рд
ев K С ср,ед,дт
ег K С ср,ед,вн
ед K С ср,ед,тв
ее K С ср,ед,пр
еж K С ср,мн,им
ез K С ср,мн,рд
еи K С ср,мн,дт
ей K С ср,мн,вн
ек K С ср,мн,тв
ел K С ср,мн,пр
ем L С ср,0
ен L С ср,ед,0

