Name;Sex;PeoplesCount;Origin
Aahan;Male;236;Hindi
Aala;Female;2000;American
Aaleahya;Female;17;Indian
Aaleyah;Female;172;Arabic
Aalijah;Female;64;Hebrew
Aaliyah;Female;22000;Arabic
Aaliyah;Female;22000;Hebrew
Aamori;Female;33;African
Aanjay;Female;19;Indian
Aaralyn;Female;216;American
Aaric;Male;395;English
Aarika;Female;768;Unknown
Aaron;Male;555000;Hebrew
Aaron;Male;555000;Hebrew
Aarshiya;Female;29;Unknown
Aart;Male;4000;Anglo
Aart;Male;4000;Anglo-Saxon
Aarthi;Female;3000;Indian
Aarush;Male;1000;India
Aarushi;Female;2000;Indian
Aase;Female;3000;Norse
Aashish;Male;10000;Hindu
Aashka;Female;377;Indian
Aasiya;Female;0;Unknown
Aaylah;Female;17;Unknown
Abagail;Female;1000;Hebrew
Abaigael;Female;23;Hebrew
Abaigeal;Female;114;Hebrew
Aballach;Male;5;Arthurian
Aballach;Male;5;Arthurian Legend
Aban;Male;7000;Arabic
Abantiades;Male;2;Latin
Abarrane;Female;13;Hebrew
Abarrane;Female;13;Hebrew
Abarrane;Female;13;Basque
Abarron;Male;56;Hebrew
Abasi;Male;3000;Egyptian
Abasi;Male;3000;African
Abayomi;Male;0;Egyptian
Abayomi;Male;0;African
Abba;Male;23000;Arabic
Abba;Female;23000;African
Abban;Male;1000;Irish
Abban;Male;1000;Irish
Abbas;Male;162000;Arabic
Abbey;Female;100000;Hebrew
Abbie;Female;46000;Hebrew
Abbigale;Female;346;Unknown
Abboid;Male;2;Gaelic
Abbot;Male;8000;English
Abbot;Male;8000;Hebrew
Abbotson;Male;49;Hebrew
Abbott;Male;179000;English
Abbott;Male;179000;Hebrew
Abbud;Male;975;Arabic
Abbudin;Male;15;Arabic
Abby;Female;156000;Hebrew
Abd Al Alim;Male;19;Arabic
Abd Al Bari;Male;11;Arabic
Abd Al Hakim;Male;39;Arabic
Abd Al Jabbar;Male;0;Arabic
Abd Al Matin;Male;0;Arabic
Abd Al Qadir;Male;49;Arabic
Abd Al Rashid;Male;4;Arabic
Abd Al Sami;Male;1;Arabic
Abd Er Rahman;Male;8;Arabic
Abda;Male;3000;Arabic
Abdalla;Male;26000;African
Abdalrahman;Male;3000;Arabic
Abdel;Male;69000;Arabic
Abdelahi;Male;52;African
Abdera;Female;155;Greek
Abderus;Male;25;Greek
Abdi;Male;68000;African
Abdikarim;Male;1000;African
Abdimelech;Male;0;African
Abdiraxman;Male;146;African
Abdul;Male;504000;Arabic
Abdul-Matin;Male;698;Arabic
Abdul-Qadir;Male;3000;Arabic
Abdul-Rashid;Male;3000;Arabic
Abdul-Sami;Male;834;Arabic
Abdul;Male;17;Arabic
Abdel;Male;17;Arabic
Abdul-Alim;Male;1000;Arabic
Abdul-Aliyy;Male;11;Arabic
Abdul-Azim;Male;742;Arabic
Abdul-Aziz;Male;24000;Arabic
Abdul-Bari;Male;1000;Arabic
Abdul-Basit;Male;5000;Arabic
Abdul-Fattah;Male;1000;Arabic
Abdul-Ghaffar, Abdul-Ghaf;Male;0;Arabic
Abdul-Hadi;Male;6000;Arabic
Abdul-Hafiz;Male;0;Arabic
Abdul-Hakam;Male;134;Arabic
Abdul-Hakim;Male;3000;Arabic
Abdul-Halim;Male;6000;Arabic
Abdul-Hamid;Male;0;Arabic
Abdul-Haqq;Male;276;Arabic
Abdul-Hasib;Male;186;Arabic
Abdul-Jabbar;Male;4000;Arabic
Abdul-Jalil;Male;2000;Arabic
Abdul-Karim;Male;6000;Arabic
Abdul-Khaliq;Male;2000;Arabic
Abdulla;Male;65000;Arabic
Abdullah;Male;669000;Arabic
Abdullah;Male;474;Arabic
Abdul;Male;474;Arabic
Abdul-Latif;Male;13000;Arabic
Abdul-Majid;Male;4000;Arabic
Abdul-Malik;Male;5000;Arabic
Abdul-Muhaimin;Male;538;Arabic
Abdul-Mu'izz;Male;37;Arabic
Abdul-Mujib;Male;0;Arabic
Abdul-Muta'al;Male;0;Arabic
Abdul-Nasir;Male;1000;Arabic
Abdul-Nasser;Male;757;Arabic
Abdul-Qahhar;Male;67;Arabic
Abdul-Quddus;Male;617;Arabic
Abdul-Rafi;Male;210;Arabic
Abdul-Rahim;Male;8000;Arabic
Abdul-Rahman;Male;40000;Arabic
Abdul-Rahman, Abdalrahman;Male;2;Arabic
Abdul-Ra'uf;Male;37;Arabic
Abdul-Razzaq;Male;2000;Arabic
Abdul-Sabur;Male;91;Arabic
Abdul-Salam;Male;5000;Arabic
Abdul-Samad;Male;6000;Arabic
Abdul-Shakur;Male;140;Arabic
Abdul-Tawwab;Male;38;Arabic
Abdul-Wadud;Male;389;Arabic
Abdul-Wahhab;Male;231;Arabic
Abdul-Wahid;Male;4000;Arabic
Abeba;Female;3000;African
Abebe;Male;6000;African
Abebi;Female;178;African
Abedabun;Female;9;Native
Abedabun;Female;9;Native American
Abeer;Female;32000;Arabic
Abegayle;Female;37;Hebrew
Abel;Male;139000;Hebrew
Abel;Male;139000;Hebrew
Abel;Male;139000;Romanian
Abelard;Male;1000;German
Abelard,allard,alard;Male;0;Teutonic
Abelia;Female;686;French
Abelia;Female;686;Hebrew
Abell;Male;7000;Hebrew
Abella;Female;2000;French
Abellona;Female;26;Danish
Abena;Female;5000;African
Abeodan;Male;5;Anglo
Abeodan;Male;5;Anglo-Saxon
Abequa;Female;9;Native
Abequa;Female;9;Native American
Abeque;Female;10;Native American
Aberfa;Female;7;Welsh
Aberthol;Male;4;Welsh
Aberto;Male;2000;Italian
Abetzi;Female;7;Native
Abey;Female;5000;Native
Abeytu;Female;7;Native
Abhainn;Male;44;Scottish
Abhainn, Aibne;Male;0;Scottish
Abhaya;Male;1000;Indian
Abhimanyu;Male;9000;Indian
Abhirati;Female;4;Indian
Abhy;Female;1000;Hebrew
Abia;Female;11000;Arabic
Abiageal;Female;8;Irish
Abiageal;Female;8;Irish
Abiah;Male;185;Hebrew
Abichail;Female;9;Hebrew
Abida;Female;3000;Arabic
Abida;Male;3000;Hebrew
Abiel;Male;2000;Hebrew
Abigail;Female;129000;Hebrew
Abigail;Female;129000;Hebrew
Abigall;Female;12;Hebrew
Abijah;Female;433;Hebrew
Abijah;Male;433;Hebrew
Abimelech;Male;110;Hebrew
Abimelech;Male;110;Hebrew
Abir;Female;17000;Arabic
Abir;Male;17000;arabic,hebrew
Abir;Female;17000;Arabic
Abir;Male;17000;Hebrew
Abiram;Male;484;Hebrew
Abisha;Male;573;Hebrew
Abisha;Male;573;Hebrew
Abital;Female;93;Hebrew
Abjaja;Male;0;Indian
Ablah;Female;248;Arabic
Able;Male;28000;Hebrew
Ablendan;Male;2;Anglo
Ablendan;Male;2;Anglo-Saxon
Abner;Male;19000;Hebrew
Abner;Male;19000;Hebrew
Abooksigun;Male;10;Native
Abooksigun;Male;10;Native American
Abra;Female;11000;Arabic
Abra;Female;11000;Hebrew
Abra;Female;11000;Arabic
Abra;Female;11000;Hebrew
Abracham;Male;63;Irish
Abracomas;Male;0;Aramaic
Abrafo;Male;21;African
Abraha;Male;1000;Arabic
Abraham;Male;228000;Hebrew
Abraham;Male;228000;Hebrew
Abram;Male;18000;Hebrew
Abram;Male;18000;Hebrew
Abramo;Male;3000;Hebrew
Abramo;Male;3000;Italian
Abran;Male;2000;Spanish
Abrecan;Male;16;Anglo
Abrecan;Male;16;Anglo-Saxon
Abriana;Female;690;Italian
Abrianna;Female;795;Unknown
Abriell;Male;48;Unknown
Abrihet;Female;49;African
Abril;Female;58000;Spanish
Absalom;Male;1000;Hebrew
Absalom;Male;1000;Hebrew
Absyrtus;Male;8;Greek
Abu Al Khayr;Male;5;Arabic
Abu Bakr;Male;3000;Arabic
Abubakar;Male;45000;Egyptian
Abukcheech;Male;2;Native
Abukcheech;Male;2;Native American
Abydos;Male;263;Greek
Acacia;Female;17000;Greek
Acacia;Female;17000;African
Acacia;Female;17000;Spanish
Academia;Female;177000;Latin
Acair;Male;29;Scottish
Acaiseid;Male;0;Scottish
Acantha;Female;145;Greek
Acastus;Male;54;Greek
Acca;Female;83000;Anglo
Acca;Female;83000;Anglo-Saxon
Accalon;Male;63;Arthurian
Accalon;Male;63;Arthurian Legend
Ace;Male;282000;English
Ace;Male;282000;Anglo
Ace;Male;282000;Anglo-Saxon
Acel;Male;2000;French
Aceline;Female;265;French
Aceline;Female;265;French
Acennan;Male;5;Anglo
Acennan;Male;5;Anglo-Saxon
Acestes;Male;78;Greek
Acey;Male;2000;Anglo-Saxon
Achaius;Male;46;Scottish
Achak;Male;414;Native
Achak;Male;414;Native American
Achan;Female;3000;African
Acharya;Male;46000;Indian
Achates;Male;201;Greek
Achcauhtli;Female;4;Nahuatl
Achcauhtli;Male;4;Nahuatl
Acheflour;Female;5;Arthurian
Acheflow;Female;3;Arthurian Legend
Achelous;Male;104;Greek
Acheron;Male;618;Greek
Achilles;Male;8000;Greek
Achir;Male;575;Indian
Acim;Male;3000;Hebrew
Acima;Female;2000;Hebrew
Acis;Male;4000;Greek
Acker;Male;11000;English
Ackerley;Male;1000;English
Ackerley;Male;1000;English
Ackerman;Male;24000;English
Ackley;Male;4000;English
Acolmixtli;Male;1;Nahuatl
Aconteus;Male;0;Greek
Acrisius;Male;12;Greek
Actassi;Male;1;Chamoru
Acteon;Male;703;Greek
Acwel;Male;9;Anglo-Saxon
Acwellen;Male;6;Anglo
Acwellen;Male;6;Anglo-Saxon
Ada;Female;247000;German
Ada;Female;247000;Teutonic
Ada;Female;247000;African
Ada;Female;247000;German
Ada;Female;247000;Hebrew
Ada;Female;247000;English
A'dab;Female;63;Arabic
Adah;Female;6000;Hebrew
Adah;Female;6000;Hebrew
Adahy;Male;63;Native
Adahy;Male;63;Native American
Adair;Male;20000;Celtic
Adair;Male;20000;Scottish
Adair;Female;20000;Scottish
Adair;Male;20000;Gaelic
Adaira;Female;137;Scottish
Adairia;Female;10;Scottish
Adal;Male;9000;German
Adal;Female;9000;German
Adalard;Male;69;German
Adalbeorht;Female;9;English
Adalbert;Male;2000;German
Adalbrechta;Female;13;English
Adalene;Female;194;French
Adalgar;Male;26;German
Adalgisa;Female;2000;Italian
Adalhard;Male;13;German
Adalheida;Female;44;German
Adali;Female;27000;German
Adalia;Female;2000;Hebrew
Adalia;Female;2000;German
Adalia;Female;2000;German
Adalia;Female;2000;Spanish
Adalicia;Female;76;French
Adalicia;Female;76;German
Adalie;Female;234;German
Adalie;Female;234;French
Adaliz;Female;495;French
Adaliz;Female;495;German
Adalric;Male;79;German
Adalrik;Male;16;German
Adalson;Male;60;English
Adalwen;Male;24;German
Adalwin;Male;32;German
Adalwine;Male;14;German
Adalwolf;Male;55;German
Adalwolfa;Female;35;German
Adalyn;Female;597;French
Adam;Male;1000000;Hebrew
Adam;Male;1000000;Hebrew
Adam;Male;1000000;English
Adama;Female;30000;African
Adamina;Female;623;Hebrew
Adamnan;Male;45;Irish
Adamnan;Male;45;Anglo
Adamnan;Male;45;Anglo-Saxon
Adamson;Male;35000;English
Adamson;Male;35000;Hebrew
Adan;Female;42000;Irish
Adan;Male;42000;Spanish
Adan;Male;42000;African
Adana;Female;306000;Spanish
Adanech;Female;87;African
Adanna;Female;2000;African
Adar;Female;20000;Hebrew
Adar;Male;20000;Hebrew
Adara;Female;4000;Greek
Adara;Female;4000;Hebrew
Adara;Female;4000;Arabic
Adara;Female;4000;Hebrew
Adara;Female;4000;Irish
Adara;Female;4000;Arabic
Adare;Male;2000;Irish
Adda;Female;14000;English
Addam;Male;2000;Hebrew
Addaneye;Male;2;English
Addergoole;Male;9;Irish
Addie;Female;16000;French
Addilynn;Female;15;Unknown
Addis;Male;39000;English
Addisen;Male;72;Unknown
Addisen;Female;72;Unknown
Addison;Male;50000;English
Addney;Male;68;English
Addo;Male;9000;African
Addula;Female;87;Teutonic
Addy;Male;20000;English
Addyson;Female;647;English
Ade;Male;144000;African
Ade;Female;144000;Arthurian
Ade;Female;144000;Arthurian Legend
Adeben;Male;62;Egyptian
Adeela;Female;1000;Arabic
Adeen;Female;616;Irish
Adel;Male;149000;Arabic
Adel;Male;149000;German
Adela;Female;42000;French
Adela;Female;42000;German
Adelaide;Female;217000;German
Adelaide;Female;217000;French
Adelaide;Female;217000;German
Adelajda;Female;212;Polish
Adelbert;Male;2000;Hungarian
Adelbert;Male;2000;German
Adele;Female;55000;German
Adele;Female;55000;French
Adele;Female;55000;French
Adele;Female;55000;German
Adelhard;Male;137;German
Adelheid;Female;2000;German
Adelheide;Female;43;German
Adelia;Female;25000;French
Adelina;Female;47000;Spanish
Adelina;Female;47000;Spanish
Adelina;Female;47000;French
Adelina;Female;47000;German
Adelinda;Female;326;Teutonic
Adelinda;Female;326;German
Adeline;Female;29000;German
Adeline;Female;29000;German
Adeline;Female;29000;French
Adelisa;Female;649;French
Adelisa;Female;649;German
Adelise;Female;145;French
Adelita;Female;3000;Spanish
Adelita;Female;3000;German
Adella;Female;5000;Spanish
Adelle;Female;6000;French
Adelle;Female;6000;German
Adelpha;Female;96;Greek
Adelynn;Female;316;French
Adelyte;Female;36;German
Adem;Male;395000;Turkish
Aden;Male;35000;Unknown
Adena;Female;5000;Hebrew
Adena;Female;5000;Hebrew
Adene;Female;560;Hebrew
Adenne;Female;0;Unknown
Adeola;Male;10000;Unknown
Adeola;Female;10000;African
Aderet;Male;232;Hebrew
Aderrig;Male;1;Irish
Adetoun;Female;737;African
Adette;Female;253;German
Adham;Male;18000;Arabic
Adhamh;Male;95;Gaelic
Adhamh;Male;95;Irish
Adhamh;Male;95;Scottish
Adharma;Male;31;Indian
Adhiambo;Female;1000;African
Adi;Male;231000;Indian
Adi;Male;231000;Romanian
Adia;Female;7000;English
Adianna;Female;82;Unknown
Adib;Male;15000;Arabian
Adiba;Female;4000;Arabic
Adiba;Female;4000;Arabic
Adibe;Female;520;Arabian
Adiella;Female;134;Hebrew
Adil;Male;174000;Arabic
Adila;Female;7000;Arabic
Adila;Female;7000;Arabic
Adilah;Female;4000;Arabic
Adilene;Female;4000;French
Adima;Female;1000;Teutonic
Adin;Female;10000;Hebrew
Adin;Male;10000;Hebrew
Adin;Male;10000;Hebrew
Adina;Female;64000;African
Adina;Female;64000;Hebrew
Adinah;Female;148;Hebrew
Adinam;Female;38;Hebrew
Adinam;Female;38;Hebrew
Adine;Female;1000;Hebrew
Adio;Male;2000;Egyptian
Adir;Male;5000;Hebrew
Adira;Female;7000;Hebrew
Adira;Female;7000;Arabic
Adiran;Male;129;Basque
Adisa;Male;5000;African
Aditi;Female;29000;Indian
Aditi;Female;29000;Hindi
