Name;Sex;frec;edad_media
ANIR;Male;20;2.1
IZAN DAVID;Male;20;3.1
JANDRO;Male;20;5.1
NEREA ALEXANDRA;Female;20;5.1
NEYZAN;Male;20;6.1
IZEIA;Female;20;6.1
DAWIT;Male;20;7.1
RARES STEFAN;Male;20;8.1
ROBERTO ALEXANDRU;Male;20;8.1
MIRUNA ELENA;Female;20;8.1
YERIEL;Male;20;9.1
BRIAN GABRIEL;Male;20;12.1
ACOIDAN JESUS;Male;20;13.1
LUCAS BENJAMIN;Male;20;13.1
MUHAMMAD AWAIS;Male;20;13.1
ANGIE ALEXANDRA;Female;20;13.1
NATALIA VALENTINA;Female;20;14.1
MELANIE CARMEN;Female;20;15.1
SOFIA ALMUDENA;Female;20;15.1
CARLOS KEVIN;Male;20;16.1
CRYSTIAN;Male;20;16.1
ANA MARIA DANIELA;Female;20;17.1
YAMILEX;Female;20;17.1
AHITOR;Male;20;18.1
LISSETH CAROLINA;Female;20;18.1
YAMILA BELEN;Female;20;18.1
ANA SARAI;Female;20;19.1
MILLIE;Female;20;19.1
MADALIN GABRIEL;Male;20;20.1
RUBEN ALONSO;Male;20;20.1
IRIS MAR;Female;20;20.1
ANDREIA ALEXANDRA;Female;20;21.1
ARAMA;Female;20;21.1
CHANTELLE;Female;20;21.1
NADIA ALEJANDRA;Female;20;21.1
SILVIA NICOLETA;Female;20;21.1
MINGHUI;Male;20;22.1
WALI;Male;20;22.1
LAVINIA NICOLETA;Female;20;22.1
SOUKEINA;Female;20;22.1
ALEXANDRU CORNEL;Male;20;23.1
VALERIA PATRICIA;Female;20;23.1
SOFIA CARLOTA;Female;20;24.1
YELINA;Female;20;24.1
ANGELA FERNANDA;Female;20;25.1
ANGELICA GABRIELA;Female;20;25.1
AMRIT PAL;Male;20;26.1
JHON ALBERTO;Male;20;26.1
ANA MARIA FLORENTINA;Female;20;26.1
ASIMA;Female;20;26.1
CLAUDIA GUADALUPE;Female;20;27.1
PEILEI;Female;20;27.1
SONIA ESTEFANIA;Female;20;27.1
CRISTO ALEJANDRO;Male;20;28.1
YANFENG;Male;20;28.1
EIRINI;Female;20;28.1
IONELA IRINA;Female;20;28.1
VANESA ROSARIO;Female;20;28.1
PEIJUN;Male;20;29.1
ESNEIDER;Male;20;30.1
LEONARDO DARIO;Male;20;30.1
MUZAMMAL;Male;20;30.1
PEDRO OLIVER;Male;20;30.1
SUKHCHAIN;Male;20;30.1
ALBA NOEMI;Female;20;30.1
ARIEL ERNESTO;Male;20;31.1
CHRISTIAN JUAN;Male;20;31.1
JAVIER LEOPOLDO;Male;20;31.1
LUIZ EDUARDO;Male;20;31.1
PARGAT;Male;20;31.1
CHRYSTELLE;Female;20;31.1
NATNAEL;Male;20;6.2
ARIADNA SOFIA;Female;20;6.2
ISET;Female;20;7.2
ANDY DANIEL;Male;20;8.2
BOTAINA;Female;20;8.2
MALENI;Female;20;8.2
SELENA CARMEN;Female;20;9.2
YEUDIEL;Male;20;10.2
ALOE;Female;20;12.2
ISAAC SAMUEL;Male;20;13.2
DHARMA;Female;20;13.2
MEGAN ROSE;Female;20;13.2
TONET;Male;20;14.2
YAHIR;Male;20;14.2
ALAN JESUS;Male;20;15.2
YIKAI;Male;20;15.2
GEORGIANA FLORENTINA;Female;20;15.2
LENIN ALEXANDER;Male;20;16.2
FLORIN EMANUEL;Male;20;17.2
SARA DIANA;Female;20;18.2
VLADYSLAVA;Female;20;19.2
LUCAS RICARDO;Male;20;20.2
MARCELO EZEQUIEL;Male;20;20.2
NOEL ALEJANDRO;Male;20;20.2
GAGANDEEP;Female;20;20.2
GOVINDA;Male;20;21.2
GABRIELA KATHERINE;Female;20;21.2
JESSICA LIZETH;Female;20;21.2
KEREN HAPUC;Female;20;21.2
LAVINIA IONELA;Female;20;21.2
IOANA LAVINIA;Female;20;22.2
MACARENA ANDREA;Female;20;22.2
DIENEBA;Female;20;23.2
KAREN FABIOLA;Female;20;23.2
CRISTIAN ADOLFO;Male;20;24.2
EUGEN ALEXANDRU;Male;20;24.2
HRISTO HRISTOV;Male;20;24.2
JORGE FABRICIO;Male;20;24.2
MAURICIO AGUSTIN;Male;20;24.2
ERICA VANESA;Female;20;24.2
GABRIEL FEDERICO;Male;20;25.2
REMUS CONSTANTIN;Male;20;25.2
JEANET;Female;20;25.2
MATHILDA;Female;20;25.2
SOFIA MARTA;Female;20;25.2
TANIA SOLEDAD;Female;20;25.2
CIPRIAN GEORGE;Male;20;26.2
MATIAS OSCAR;Male;20;26.2
WANLI;Male;20;26.2
ALEJANDRA LETICIA;Female;20;26.2
MONICA JOHANNA;Female;20;26.2
YOANI;Female;20;26.2
AADEL;Male;20;27.2
ALIN OVIDIU;Male;20;27.2
EDISON RICARDO;Male;20;27.2
GHARIB;Male;20;27.2
HASHIM;Male;20;27.2
VALENTIN STEFAN;Male;20;27.2
IONELA LILIANA;Female;20;27.2
LENUTA MARIA;Female;20;27.2
LURDES MARIA;Female;20;27.2
MARIA YAMILA;Female;20;27.2
MELANIA ISABEL;Female;20;27.2
YOVANKA;Female;20;27.2
ABDELMOUTALIB;Male;20;28.2
MARCIO MANUEL;Male;20;28.2
SIMONA LOREDANA;Female;20;28.2
YESENIA ROCIO;Female;20;28.2
BENTCHEY;Male;20;4.3
IZAN MANUEL;Male;20;4.3
IKER JOAN;Male;20;5.3
BISMA;Female;20;6.3
SUMMER;Female;20;6.3
YUQI;Female;20;6.3
SOFIA NICOLE;Female;20;8.3
IBRAHEM;Male;20;9.3
NICOLE SOFIA;Female;20;9.3
ENZO NICOLAS;Male;20;10.3
ANDRIU;Male;20;11.3
KEVIN MARCELO;Male;20;11.3
GABRIELA NICOLE;Female;20;11.3
LIONEL JOSE;Male;20;13.3
CHRISTOPHER ANDRES;Male;20;14.3
RODRIGO NAHUEL;Male;20;14.3
ARIK;Male;20;15.3
CARLOTA ALEJANDRA;Female;20;15.3
CRISTINA DENISA;Female;20;15.3
FLORENCIA SOFIA;Female;20;15.3
DEJANIRA;Female;20;16.3
MIRIAM REBECA;Female;20;16.3
ALAN ALEXANDER;Male;20;17.3
ALEXANDER MAURICIO;Male;20;17.3
JASSON;Male;20;17.3
TAI;Male;20;18.3
ANDREA CISNE;Female;20;18.3
JUDITH PINO;Female;20;18.3
MARA ALEXANDRA;Female;20;18.3
TATIA;Female;20;18.3
ROBERT CLAUDIU;Male;20;19.3
KIRSA;Female;20;19.3
ISMAYL;Male;20;20.3
CAMILA FRANCISCA;Female;20;20.3
JUDITH ALEJANDRA;Female;20;20.3
ZOE MARIE;Female;20;20.3
BORJA VICENTE;Male;20;21.3
CRISTHIAN MAURICIO;Male;20;21.3
DANNY FABIAN;Male;20;21.3
JEFFERSON ENRIQUE;Male;20;21.3
JUAN BELTRAN;Male;20;21.3
PABLO EMANUEL;Male;20;21.3
OMAYRA MARIA;Female;20;21.3
ABRAAN;Male;20;22.3
DANIEL TEODOR;Male;20;22.3
ROBERT FABIAN;Male;20;23.3
KHATIA;Female;20;24.3
MARIEL ALEJANDRA;Female;20;24.3
CARLOTA ANA;Female;20;25.3
IULIANA ADRIANA;Female;20;25.3
LUCIA MARTINA;Female;20;25.3
SIA;Female;20;25.3
CARLY;Female;20;26.3
GUILLERMO ALONSO;Male;20;27.3
LINFENG;Male;20;27.3
LORENA PAULA;Female;20;27.3
CHEIKH AHMADOU BAMBA;Male;20;28.3
GEOVANI;Male;20;28.3
PETRU IULIAN;Male;20;28.3
YON MIKEL;Male;20;28.3
ADRIANA JACQUELINE;Female;20;28.3
CORNELIA NICOLETA;Female;20;28.3
JIMENA ELIZABETH;Female;20;28.3
MARITZA ALEJANDRA;Female;20;28.3
VERONICA ELIZA;Female;20;28.3
EDUARDO HENRIQUE;Male;20;29.3
XIAO JUN;Male;20;29.3
DARLIN;Female;20;29.3
PATRICIA CANDELARIA;Female;20;29.3
ARIEL FRANCISCO;Male;20;30.3
IVO JOSE;Male;20;30.3
WILLIAN PATRICIO;Male;20;30.3
ESTHER VANESA;Female;20;30.3
MIHAELA ANGELA;Female;20;30.3
NANCY ALEJANDRA;Female;20;30.3
VIORICA MIHAELA;Female;20;30.3
BASILE;Male;20;31.3
ALEJANDRA EUGENIA;Female;20;31.3
ANILA;Female;20;31.3
LETICIA LOURDES;Female;20;31.3
NANCY RAMONA;Female;20;31.3
NORMA LORENA;Female;20;31.3
VERONICA MARIELA;Female;20;31.3
DILAN ALEXANDER;Male;20;5.4
MARTIM;Male;20;8.4
DENIS IOAN;Male;20;9.4
ANGIE CAMILA;Female;20;10.4
SHEILA ROCIO;Female;20;11.4
CAUZAR;Female;20;12.4
LAU;Male;20;13.4
IPAR;Male;20;14.4
ZARAH;Female;20;14.4
ERICK PATRICIO;Male;20;15.4
YANICK;Male;20;15.4
STEPHANNY;Female;20;15.4
YOUSRI;Male;20;16.4
LIZETH ESTEFANIA;Female;20;16.4
WILLIAM ALEXIS;Male;20;18.4
ALEXANDRA CORINA;Female;20;18.4
YAMARA;Female;20;18.4
IRINA ANDREEA;Female;20;19.4
NADIA BELEN;Female;20;19.4
ALEXANDER IVAN;Male;20;20.4
DANIELA NOEMI;Female;20;20.4
MELISSA CARMEN;Female;20;20.4
SAMANTHA MICHELLE;Female;20;20.4
YERINA;Female;20;20.4
ALIN NICUSOR;Male;20;21.4
XUN;Male;20;21.4
APOLLONIA MARIA;Female;20;21.4
MARIATOU;Female;20;21.4
MONICA ANDREEA;Female;20;21.4
ANDREI DORIN;Male;20;22.4
ENZO DANIEL;Male;20;22.4
SEAN PAUL;Male;20;22.4
GUAYENTE;Female;20;22.4
MARIA YOMARA;Female;20;22.4
MELISSA CAROLINA;Female;20;22.4
JORDI MIGUEL;Male;20;23.4
PATRICIO NICOLAS;Male;20;23.4
AHMED ALI;Male;20;24.4
MARIO LUCAS;Male;20;24.4
TANER;Male;20;24.4
TAREIXA;Female;20;24.4
YENNY MARCELA;Female;20;24.4
HUGO FELIX;Male;20;25.4
ATSEGIÑE;Female;20;25.4
DAVIDSON;Male;20;26.4
FABIO ADRIAN;Male;20;26.4
FEDERICO IVAN;Male;20;26.4
JHON EDUAR;Male;20;26.4
LOFTI;Male;20;26.4
MAHBUB;Male;20;26.4
ALASKA;Female;20;26.4
FATIMA SOLEDAD;Female;20;26.4
LIZ PATRICIA;Female;20;26.4
PAULA FLORENCIA;Female;20;26.4
TEHMINE;Female;20;26.4
VALERIA NATALIA;Female;20;26.4
ROCKY;Male;20;27.4
DANA MARIANA;Female;20;27.4
KIMBERLEY ANNE;Female;20;27.4
MOHAMMED ANOUAR;Male;20;28.4
VALENTIN ION;Male;20;28.4
