Name;Sex;PeoplesCount
Аалия;Female;13
Аанжелла;Female;0
Аба;Female;1000
Абав;Female;0
Абам;Female;32
Абаханум;Female;4
Абаш;Female;125
Аббаза;Female;3
Абгюль;Female;0
Абдужалия;Female;0
Абдулния;Female;1
Абдулпетта;Female;2
Абдулька;Female;5
Абдупатта;Female;0
Абдурасуль;Female;1
Абдурефи;Female;24
Абдурома;Female;3
Абдюль;Female;11
Абелина;Female;30
Абель;Female;892
Абибат;Female;2
Абигейль;Female;0
Абигель;Female;48
Абика;Female;62
Абилфетта;Female;3
Аблялиль;Female;2
Абрагина;Female;36
Абрамия;Female;39
Абраша;Female;71
Абрииа;Female;0
Абуватфа;Female;7
Абузарь;Female;0
Абульфаза;Female;1
Абуся;Female;0
Абута;Female;2
Абутаима;Female;2
Авагея;Female;4
Аванда;Female;18
Аванна;Female;10
Авашарфа;Female;3
Авашерфа;Female;0
Аващарфа;Female;1
Авгалифена;Female;0
Авгела;Female;1
Авгения;Female;0
Авгиння;Female;3
Авгусита;Female;1
Августа;Female;13000
Августина;Female;5000
Августиния;Female;9
Авдия;Female;14
Авдокия;Female;4
Авдоля;Female;2
Авдотия;Female;21
Авдотья;Female;2000
Авдоха;Female;7
Авелина;Female;0
Авелия;Female;62
Авеля;Female;11
Авенгилина;Female;3
Авенила;Female;0
Авения;Female;5
Авентина;Female;7
Авера;Female;37
Авереса;Female;1
Аверида;Female;6
Аверия;Female;24
Авета;Female;0
Аветлана;Female;3
Аветра;Female;0
Авза;Female;308
Авзаль;Female;18
Авиа;Female;11000
Авиада;Female;2
Авиана;Female;14
Авиата;Female;0
Авиатта;Female;0
Авигея;Female;146
Авиета;Female;6
Авизия;Female;0
Авила;Female;3000
Авилина;Female;73
Авина;Female;225
Авиона;Female;2
Авиреза;Female;5
Авиталь;Female;176
Авиша;Female;7
Авиэта;Female;3
Авия;Female;114
Авксения;Female;1
Авксентия;Female;4
Авлат;Female;4
Авлевтина;Female;3
Авлентина;Female;5
Авлина;Female;7
Авлора;Female;7
Авмрозия;Female;1
Авнда;Female;1
Авнендра;Female;3
Авнизия;Female;0
Аворика;Female;5
Авралия;Female;0
Аврамия;Female;2
Аврела;Female;2
Аврелия;Female;555
Аврелка;Female;3
Аврелька;Female;4
Авреля;Female;9
Авремия;Female;2
Аврийка;Female;3
Аврика;Female;18
Аврилия;Female;7
