Activity Code Group;Code Group Description;Activity Code;Activity Description;RU Описание на русском языке;Notification types;Memo
CDEM;CDE Movements;ML01;Equipment installed;оборудование установлено;S1, S2, S8;
CDEM;CDE Movements;ML02;Equipment exchanged;оборудование заменено;S1, S2, S8;
CDEM;CDE Movements;ML03;Support equipment installation;помощь при установке оборудования;S1, S2, S8;
CDEM;CDE Movements;ML04;Product installed Brix/Ratio/Taste;продукт установлен Brix/Соотношение/Вкус;S1, S2, S8;
CDEM;CDE Movements;ML05;New labels attached;новые наклейки;S1, S2, S8;
CDEM;CDE Movements;ML06;New product installed;новый продукт установлен;S1, S2, S8;
CDEM;CDE Movements;ML07;Water filter station installed;установлены фильтра для воды;S1, S2, S8;
CDEM;CDE Movements;ML08;System reprogrammed/updated;система перепрограммирована/обновлена;S1, S2, S8;
CDEM;CDE Movements;ML09;Payment System installed;платежная система установлена;S1, S2, S8;
CDEM;CDE Movements;MR01;Equipment removed;оборудование возвращено;S1, S2, S8;
CDEM;CDE Movements;MR02;Support equipment removal;помощь при возврате оборудования;S1, S2, S8;
CDEM;CDE Movements;MS01;CDE commissioned seasonal;установлено сезонное оборудование;S1, S2, S8;
CDEM;CDE Movements;MS02;CDE decomissioned seasonal;возвращено сезонное оборудование;S1, S2, S8;
CDEM;CDE Movements;MO01;Other;Другое;S1, S2, S8;
CDEM;CDE Movements;MU01;Unproductive placement;Непродуктивная установка;S1, S2, S8;не использовать
CDEM;CDE Movements;MU02;Unproductive removal;Непродуктивный возврат;S1, S2, S8;не использовать
CDEM;CDE Movements;MU03;Cancel by cust - wrong model;Отмена установки клиентом -другая модель;S1, S2, S8;непродуктивные коды для Поставщиков или отмены после создания заказа
CDEM;CDE Movements;MU04;Cancel by cust - equipment damaged;Отмена установки клиентом -повр доставке;S1, S2, S8;непродуктивные коды для Поставщиков или отмены после создания заказа
CDEM;CDE Movements;MU05;Cancel by cust - equipment not needed;Отмена установки клиентом -ХО не нужно;S1, S2, S8;непродуктивные коды для Поставщиков или отмены после создания заказа
CDEM;CDE Movements;MU06;Removal cancel - eq. withheld by cust;Отмена снятия клиентом - не отдает;S1, S2, S8;непродуктивные коды для Поставщиков или отмены после создания заказа
CDEM;CDE Movements;MU07;Removal cancel - need replacement;Отмена снятия клиентом - нужна замена;S1, S2, S8;непродуктивные коды для Поставщиков или отмены после создания заказа
CDEM;CDE Movements;MU08;Cancel - no sign, stamp, docs;Отмена - нет подписи, печати, документов;S1, S2, S8;непродуктивные коды для Поставщиков или отмены после создания заказа
CDEM;CDE Movements;MU09;There is not eq. in outlet;Нет оборудования в ТТ;S1, S2, S8;непродуктивные коды для Поставщиков или отмены после создания заказа
CDEM;CDE Movements;MU10;Not enter becouse dimensions;Не входит по габаритам;S1, S2, S8;непродуктивные коды для Поставщиков или отмены после создания заказа
CDEM;CDE Movements;MU11;Not exceed becouse dimensions;Не выходит из за габаритов;S1, S2, S8;непродуктивные коды для Поставщиков или отмены после создания заказа
CDEM;CDE Movements;MU12;Not delivered (should be commented);Не доставлено (причина в комментариях);S1, S2, S8;непродуктивные коды для Поставщиков или отмены после создания заказа
CDEM;CDE Movements;MU13;Wrong model loaded in WH;Ошибка при загрузке на складе;S1, S2, S8;непродуктивные коды для Поставщиков или отмены после создания заказа
CDEM;CDE Movements;MU14;By Driver fault;Не успел, не нашел;S1, S2, S8;непродуктивные коды для Поставщиков или отмены после создания заказа
CDEM;CDE Movements;MU15;Outlet closed;Торговая точка закрыта;S1, S2, S8;непродуктивные коды для Поставщиков или отмены после создания заказа
CDEM;CDE Movements;MU16;Wrong address, open time in request;Некорректный адрес, время работы в заявк;S1, S2, S8;непродуктивные коды для Поставщиков или отмены после создания заказа
DELM;CDE Movements delay;MD01;Delay caused by the Supplier;Задержка, вызванная Поставщиком;S1, S2, S8;используется только клерками до создания заказа
DELM;CDE Movements delay;MD02;Wrong data;Неверные данные ;S1, S2, S8;используется только клерками до создания заказа
