name,type,name_with_type,federal_district,kladr_id,fias_id,okato,oktmo,tax_office,postal_code,iso_code,timezone,geoname_code,geoname_id,geoname_name
Адыгея,Респ,Респ Адыгея,Южный,0100000000000,d8327a56-80de-4df2-815c-4f6ab1224c50,79000000000,79000000,0100,385000,RU-AD,UTC+3,RU.01,584222,Adygeya Republic
Башкортостан,Респ,Респ Башкортостан,Приволжский,0200000000000,6f2cbfd8-692a-4ee4-9b16-067210bde3fc,80000000000,80000000,0200,452000,RU-BA,UTC+5,RU.08,578853,Bashkortostan Republic
Бурятия,Респ,Респ Бурятия,Дальневосточный,0300000000000,a84ebed3-153d-4ba9-8532-8bdf879e1f5a,81000000000,81000000,0300,671000,RU-BU,UTC+8,RU.11,2050915,Buryatiya Republic
Алтай,Респ,Респ Алтай,Сибирский,0400000000000,5c48611f-5de6-4771-9695-7e36a4e7529d,84000000000,84000000,0400,649000,RU-AL,UTC+7,RU.03,1506272,Altai
Дагестан,Респ,Респ Дагестан,Северо-Кавказский,0500000000000,0bb7fa19-736d-49cf-ad0e-9774c4dae09b,82000000000,82000000,0500,368000,RU-DA,UTC+3,RU.17,567293,Dagestan
Ингушетия,Респ,Респ Ингушетия,Северо-Кавказский,0600000000000,b2d8cd20-cabc-4deb-afad-f3c4b4d55821,26000000000,26000000,0600,386000,RU-IN,UTC+3,RU.19,556349,Ingushetiya Republic
Кабардино-Балкарская,Респ,Кабардино-Балкарская Респ,Северо-Кавказский,0700000000000,1781f74e-be4a-4697-9c6b-493057c94818,83000000000,83000000,0700,,RU-KB,UTC+3,RU.22,554667,Kabardino-Balkariya Republic
Калмыкия,Респ,Респ Калмыкия,Южный,0800000000000,491cde9d-9d76-4591-ab46-ea93c079e686,85000000000,85000000,0800,,RU-KL,UTC+3,RU.24,553972,Kalmykiya Republic
Карачаево-Черкесская,Респ,Карачаево-Черкесская Респ,Северо-Кавказский,0900000000000,61b95807-388a-4cb1-9bee-889f7cf811c8,91000000000,91000000,0900,,RU-KC,UTC+3,RU.27,552927,Karachayevo-Cherkesiya Republic
Карелия,Респ,Респ Карелия,Северо-Западный,1000000000000,248d8071-06e1-425e-a1cf-d1ff4c4a14a8,86000000000,86000000,1000,,RU-KR,UTC+3,RU.28,552548,Karelia
Коми,Респ,Респ Коми,Северо-Западный,1100000000000,c20180d9-ad9c-46d1-9eff-d60bc424592a,87000000000,87000000,1100,,RU-KO,UTC+3,RU.34,545854,Komi
Марий Эл,Респ,Респ Марий Эл,Приволжский,1200000000000,de2cbfdf-9662-44a4-a4a4-8ad237ae4a3e,88000000000,88000000,1200,,RU-ME,UTC+3,RU.45,529352,Mariy-El Republic
Мордовия,Респ,Респ Мордовия,Приволжский,1300000000000,37a0c60a-9240-48b5-a87f-0d8c86cdb6e1,89000000000,89000000,1300,,RU-MO,UTC+3,RU.46,525369,Mordoviya Republic
Саха /Якутия/,Респ,Респ Саха /Якутия/,Дальневосточный,1400000000000,c225d3db-1db6-4063-ace0-b3fe9ea3805f,98000000000,98000000,1400,,RU-SA,UTC+9,RU.63,2013162,Sakha
Северная Осетия - Алания,Респ,Респ Северная Осетия - Алания,Северо-Кавказский,1500000000000,de459e9c-2933-4923-83d1-9c64cfd7a817,90000000000,90000000,1500,,RU-SE,UTC+3,RU.68,519969,North Ossetia
Татарстан,Респ,Респ Татарстан,Приволжский,1600000000000,0c089b04-099e-4e0e-955a-6bf1ce525f1a,92000000000,92000000,1600,420000,RU-TA,UTC+3,RU.73,484048,Tatarstan Republic
